"","Comisiones","Total","Concepto","Intereses"
"1","4,187.7","157,629.3","Suma de estructura por plazo",153441.6
"2","4,181.7","153,935.4","Largo plazo",149753.7
"3","6.0","3,693.9","Corto plazo",3687.9
"4","4,187.7","157,629.3","Suma de estructura por usuario",153441.6
"5","4,159.6","154,360.8","Usuario_GobFederal",150201.2
"6","4,159.6","151,180.2","Usuario_GobFederal_LargoPlazo",147020.6
"7","0.0","3,180.6","Usuario_GobFederal_CortoPlazo",3180.6
"8","28.1","1,916.4","Usuario_EmpresasProductivas",1888.3
"9","22.1","1,501.1","Usuario_EmpresasProductivas_LargoPlazo",1479
"10","6.0","415.3","Usuario_EmpresasProductivas_CortoPlazo",409.3
"11","0.0","1,352.1","Usuario_BancaDesarrollo",1352.1
"12","0.0","1,254.1","Usuario_BancaDesarrollo_LargoPlazo",1254.1
"13","0.0","98.0","Usuario_BancaDesarrollo_CortoPlazo",98
"14","4,187.7","157,629.3","Suma de estructuras por fuente de financiamiento",153441.6
"15","4,123.4","155,949.9","Emision de valores",151826.5
"16","0.0","272.0","Fondo de ahorro SAR",272
"17","15.7","806.4","Banca Comercial",790.7
"18","0.0","0.0","Obligaciones ISSTE",0
"19","0.0","0.0","Bonos de pensión PEMEX",0
"20","0.0","0.0","Bonos de pensión CFE",0
"21","48.6","601.0","Otros",552.4
