"","Comisiones","Total","Intereses","Concepto"
"1","71.1","29,813.7",29742.6,"Suma de estructura por plazo"
"2","71.1","25,601.0",25529.9,"Largo plazo"
"3","0.0","4,212.7",4212.7,"Corto plazo"
"4","71.1","29,813.7",29742.6,"Suma de estructura por usuario"
"5","50.7","24,382.6",24331.9,"Usuario_GobFederal"
"6","50.7","20,680.4",20629.7,"Usuario_GobFederal_LargoPlazo"
"7","0.0","3,702.2",3702.2,"Usuario_GobFederal_CortoPlazo"
"8","20.4","3,894.6",3874.2,"Usuario_EmpresasProductivas"
"9","20.4","3,436.5",3416.1,"Usuario_EmpresasProductivas_LargoPlazo"
"10","0.0","458.1",458.1,"Usuario_EmpresasProductivas_CortoPlazo"
"11","0.0","1,536.5",1536.5,"Usuario_BancaDesarrollo"
"12","0.0","1,484.1",1484.1,"Usuario_BancaDesarrollo_LargoPlazo"
"13","0.0","52.4",52.4,"Usuario_BancaDesarrollo_CortoPlazo"
"14","71.1","29,813.7",29742.6,"Suma de estructuras por fuente de financiamiento"
"15","6.5","27,101.8",27095.3,"Emision de valores"
"16","0.0","264.7",264.7,"Fondo de ahorro SAR"
"17","16.5","745.9",729.4,"Banca Comercial"
"18","0.0","21.8",21.8,"Obligaciones ISSTE"
"19","0.0","903.1",903.1,"Bonos de pensión PEMEX"
"20","0.0","0.0",0,"Bonos de pensión CFE"
"21","48.1","776.4",728.3,"Otros"
