"","Concepto","2017","2018","Variacion"
"1","Ingresos Presupuestarios","4,626.0","5,106.0",9.40070505287897
"2","Ingresos Tributarios","2,855.1","3,048.4",6.34103136071382
"4","Ingresos sin IEPS de combuestibles","2,638.6","2,863.8",7.8636776311195
"9","Gasto neto total sin erogaciones en inversiones financieras, pago de pensiones, participaciones y costo financiero","2,915.3","3,216.7",9.369851089626
"13","Gasto neto total sin erogaciones pero con costo financiero","3,448.4","3,847.0",10.3613205094879
"16","Gasto neto sin erogaciones en inversiones financieras","4,926.9","5,487.4",10.2143091445858
"17","Gasto neto total","5,182.6","5,572.7",7.00019739085182
"18","Gasto corriente estructural","2,219.2","2,162.1",-2.64095092733916
"19","Balance primario","304.8","164.1",-85.7404021937843
"20","RFSP","-233.0","-584.7",60.1505045322388
"21","SHRFSP","10,031.8","10,669.3",5.97508740029805
"22","Deuda pública","10,090.6","10,698.5",5.68210496798616
