"","2019","2020","Concepto","Variacion"
"1","446.0","540.3","Ingresos Presupuestarios",0.825467332963169
"2","318.5","364.6","Ingresos Tributarios",0.873560065825562
"3","288.8","335.2","Ingresos sin IEPS de combuestibles",0.861575178997613
"4","261.7","244.5","Gasto neto total sin erogaciones en inversiones financieras, pago de pensiones, participaciones y costo financiero",1.07034764826176
"5","328.3","307.7","Gasto neto total sin erogaciones pero con costo financiero",1.06694832629184
"6","486.9","480.7","Gasto neto sin erogaciones en inversiones financieras",1.01289785729145
"7","507.9","504.1","Gasto neto total",1.00753818686768
"8","159.3","166.7","Gasto corriente estructural",0.955608878224355
"9","9.8","100.2","Balance primario",0.0978043912175649
"10","-17.0","9.1","RFSP",-1.86813186813187
"11","10,456.2","10,832.0","SHRFSP",0.965306499261448
"12","10,801.0","11,089.6","Deuda pública",0.973975616794113
